partNumber,name,category,model,price,oem_price,aftermarket_price,description,manufacturer,url
1628-451-036,Shock Absorber Front Right,Suspension,corsa,149.99,149.99,84.99,Front right shock absorber,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-037,Shock Absorber Rear Left,Suspension,corsa,129.99,129.99,74.99,Rear left shock absorber,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-038,Shock Absorber Rear Right,Suspension,corsa,129.99,129.99,74.99,Rear right shock absorber,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-039,Manual Transmission,Transmission,corsa,799.99,799.99,499.99,5-speed manual transmission,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-040,Automatic Transmission,Transmission,corsa,1199.99,1199.99,699.99,Automatic transmission assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-041,Transmission Fluid,Transmission,corsa,29.99,29.99,19.99,ATF transmission fluid 1L,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-042,Clutch Kit,Transmission,corsa,189.99,189.99,119.99,Complete clutch assembly kit,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-043,Drive Shaft Left,Transmission,corsa,149.99,149.99,89.99,Left axle drive shaft,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-044,Drive Shaft Right,Transmission,corsa,149.99,149.99,89.99,Right axle drive shaft,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-045,CV Joint Boot,Transmission,corsa,34.99,34.99,21.99,CV joint protective boot,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-046,Differential Carrier,Transmission,corsa,399.99,399.99,249.99,Differential bearing carrier,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-047,Headlight Assembly Left,Electrical,corsa,189.99,189.99,119.99,Full LED headlight left,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-048,Headlight Assembly Right,Electrical,corsa,189.99,189.99,119.99,Full LED headlight right,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-049,Taillight Assembly Left,Electrical,corsa,129.99,129.99,74.99,LED taillight left,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-050,Taillight Assembly Right,Electrical,corsa,129.99,129.99,74.99,LED taillight right,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-051,Window Motor Front Left,Electrical,corsa,89.99,89.99,54.99,Front left electric window motor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-052,Window Motor Front Right,Electrical,corsa,89.99,89.99,54.99,Front right electric window motor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-053,Door Lock Actuator,Electrical,corsa,79.99,79.99,49.99,Electronic door lock actuator,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-054,Wiper Motor,Electrical,corsa,99.99,99.99,64.99,Windshield wiper motor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-055,Battery 60Ah,Electrical,corsa,149.99,149.99,99.99,AGM battery 60Ah 12V,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-056,Fuel Tank,Fuel System,corsa,299.99,299.99,179.99,Fuel storage tank assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-057,Fuel Pump,Fuel System,corsa,129.99,129.99,79.99,Electric fuel pump,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-058,Fuel Filter,Fuel System,corsa,34.99,34.99,19.99,Fuel filter cartridge,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-059,Radiator,Cooling,corsa,189.99,189.99,119.99,Engine coolant radiator,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-060,Cooling Fan Motor,Cooling,corsa,99.99,99.99,64.99,Fan motor assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-061,Thermostat Housing,Cooling,corsa,59.99,59.99,34.99,Cooling system thermostat,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-062,Water Hose Upper,Cooling,corsa,24.99,24.99,14.99,Upper radiator hose,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-063,Water Hose Lower,Cooling,corsa,24.99,24.99,14.99,Lower radiator hose,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-064,Expansion Tank,Cooling,corsa,49.99,49.99,29.99,Coolant expansion tank,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-065,Transmission Cooler,Cooling,corsa,129.99,129.99,79.99,ATF transmission cooler,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
